ts,pa
2020-09-08 07:23:32,100798
2020-09-08 07:24:32,100803
2020-09-08 07:25:32,100805
2020-09-08 07:26:32,100805
2020-09-08 07:27:32,100805
2020-09-08 07:28:32,100804
2020-09-08 07:29:32,100801
2020-09-08 07:30:32,100800
2020-09-08 07:31:32,100798
2020-09-08 07:32:32,100801
2020-09-08 07:33:32,100801
2020-09-08 07:34:32,100803
2020-09-08 07:35:32,100801
2020-09-08 07:36:32,100802
2020-09-08 07:37:32,100797
2020-09-08 07:38:32,100796
2020-09-08 07:39:32,100798
2020-09-08 07:40:32,100799
2020-09-08 07:41:32,100803
2020-09-08 07:42:32,100804
2020-09-08 07:43:32,100803
2020-09-08 07:44:32,100807
2020-09-08 07:45:32,100806
2020-09-08 07:46:32,100806
2020-09-08 07:47:32,100806
2020-09-08 07:48:33,100807
2020-09-08 07:49:33,100808
2020-09-08 07:50:33,100810
2020-09-08 07:51:33,100813
2020-09-08 07:52:33,100816
2020-09-08 07:53:33,100815
2020-09-08 07:54:33,100816
2020-09-08 07:55:33,100817
2020-09-08 07:56:33,100817
2020-09-08 07:57:33,100815
2020-09-08 07:58:33,100812
2020-09-08 07:59:33,100814
2020-09-08 08:00:33,100811
2020-09-08 08:01:33,100813
2020-09-08 08:02:33,100808
2020-09-08 08:03:33,100808
2020-09-08 08:04:33,100814
2020-09-08 08:05:33,100815
2020-09-08 08:06:33,100817
2020-09-08 08:07:33,100817
2020-09-08 08:08:33,100824
2020-09-08 08:09:33,100827
2020-09-08 08:10:33,100826
2020-09-08 08:11:33,100827
2020-09-08 08:12:33,100827
2020-09-08 08:13:33,100829
2020-09-08 08:14:33,100834
2020-09-08 08:15:33,100829
2020-09-08 08:16:33,100836
2020-09-08 08:17:33,100834
2020-09-08 08:18:33,100833
2020-09-08 08:19:33,100836
2020-09-08 08:20:33,100836
2020-09-08 08:21:33,100837
2020-09-08 08:22:33,100832
2020-09-08 08:23:33,100831
2020-09-08 08:24:33,100834
2020-09-08 08:25:33,100834
2020-09-08 08:26:33,100833
2020-09-08 08:27:33,100834
2020-09-08 08:28:33,100835
2020-09-08 08:29:33,100837
2020-09-08 08:30:33,100836
2020-09-08 08:31:33,100835
2020-09-08 08:32:33,100834
2020-09-08 08:33:33,100834
2020-09-08 08:34:33,100836
2020-09-08 08:35:33,100836
2020-09-08 08:36:33,100836
2020-09-08 08:37:33,100835
2020-09-08 08:38:33,100833
2020-09-08 08:39:33,100832
2020-09-08 08:40:33,100833
2020-09-08 08:41:33,100833
2020-09-08 08:42:33,100834
2020-09-08 08:43:33,100837
2020-09-08 08:44:33,100836
2020-09-08 08:45:33,100835
2020-09-08 08:46:34,100835
2020-09-08 08:47:34,100836
2020-09-08 08:48:34,100833
2020-09-08 08:49:34,100835
2020-09-08 08:50:34,100839
2020-09-08 08:51:34,100835
2020-09-08 08:52:34,100835
2020-09-08 08:53:34,100836
2020-09-08 08:54:34,100837
2020-09-08 08:55:34,100836
2020-09-08 08:56:34,100837
2020-09-08 08:57:34,100837
2020-09-08 08:58:34,100838
2020-09-08 08:59:34,100840
2020-09-08 09:00:34,100839
2020-09-08 09:01:34,100839
2020-09-08 09:02:34,100837
2020-09-08 09:03:34,100833
2020-09-08 09:04:34,100831
2020-09-08 09:05:34,100830
2020-09-08 09:06:34,100838
2020-09-08 09:07:34,100838
2020-09-08 09:08:34,100837
2020-09-08 09:09:34,100842
2020-09-08 09:10:34,100837
2020-09-08 09:11:34,100840
2020-09-08 09:12:34,100843
2020-09-08 09:13:34,100849
2020-09-08 09:14:34,100841
2020-09-08 09:15:34,100841
2020-09-08 09:16:34,100840
2020-09-08 09:17:34,100845
2020-09-08 09:18:34,100843
2020-09-08 09:19:34,100838
2020-09-08 09:20:34,100838
2020-09-08 09:21:34,100841
2020-09-08 09:22:34,100839
2020-09-08 09:23:34,100837
2020-09-08 09:24:34,100835
2020-09-08 09:25:34,100838
2020-09-08 09:26:34,100839
2020-09-08 09:27:35,100842
2020-09-08 09:28:35,100849
2020-09-08 09:29:35,100850
2020-09-08 09:30:35,100854
2020-09-08 09:31:35,100854
2020-09-08 09:32:35,100856
2020-09-08 09:33:35,100858
2020-09-08 09:34:35,100857
2020-09-08 09:35:35,100856
2020-09-08 09:36:35,100860
2020-09-08 09:37:35,100856
2020-09-08 09:38:35,100855
2020-09-08 09:39:35,100860
2020-09-08 09:40:35,100858
2020-09-08 09:41:35,100856
2020-09-08 09:42:35,100859
2020-09-08 09:43:35,100855
2020-09-08 09:44:35,100860
2020-09-08 09:45:35,100859
2020-09-08 09:46:35,100863
2020-09-08 09:47:35,100863
2020-09-08 09:48:35,100863
2020-09-08 09:49:35,100868
2020-09-08 09:50:35,100863
2020-09-08 09:51:35,100863
2020-09-08 09:52:35,100863
2020-09-08 09:53:35,100866
2020-09-08 09:54:35,100866
2020-09-08 09:55:35,100862
2020-09-08 09:56:35,100865
2020-09-08 09:57:35,100866
2020-09-08 09:58:35,100864
2020-09-08 09:59:35,100868
2020-09-08 10:00:35,100863
2020-09-08 10:01:35,100859
2020-09-08 10:02:35,100855
2020-09-08 10:03:35,100858
2020-09-08 10:04:35,100858
2020-09-08 10:05:35,100857
2020-09-08 10:06:35,100855
2020-09-08 10:07:35,100859
2020-09-08 10:08:35,100860
2020-09-08 10:09:35,100861
2020-09-08 10:10:35,100858
2020-09-08 10:11:35,100860
2020-09-08 10:12:36,100856
2020-09-08 10:13:36,100854
2020-09-08 10:14:36,100853
2020-09-08 10:15:36,100853
2020-09-08 10:16:36,100853
2020-09-08 10:17:36,100858
2020-09-08 10:18:36,100860
2020-09-08 10:19:36,100859
2020-09-08 10:20:36,100863
2020-09-08 10:21:36,100863
2020-09-08 10:22:36,100859
2020-09-08 10:23:36,100862
2020-09-08 10:24:36,100860
2020-09-08 10:25:36,100861
2020-09-08 10:26:36,100857
2020-09-08 10:27:36,100858
2020-09-08 10:28:36,100859
2020-09-08 10:29:36,100861
2020-09-08 10:30:36,100858
2020-09-08 10:31:36,100857
2020-09-08 10:32:36,100858
2020-09-08 10:33:36,100858
2020-09-08 10:34:36,100856
2020-09-08 10:35:36,100858
2020-09-08 10:36:36,100858
2020-09-08 10:37:36,100861
2020-09-08 10:38:36,100861
2020-09-08 10:39:36,100860
2020-09-08 10:40:36,100859
2020-09-08 10:41:36,100858
2020-09-08 10:42:36,100859
2020-09-08 10:43:36,100859
2020-09-08 10:44:36,100862
2020-09-08 10:45:36,100860
2020-09-08 10:46:36,100857
2020-09-08 10:47:36,100857
2020-09-08 10:48:36,100854
2020-09-08 10:49:36,100854
2020-09-08 10:50:37,100856
2020-09-08 10:51:37,100855
2020-09-08 10:52:37,100855
2020-09-08 10:53:37,100856
2020-09-08 10:54:37,100859
2020-09-08 10:55:37,100858
2020-09-08 10:56:37,100855
2020-09-08 10:57:37,100855
2020-09-08 10:58:37,100856
2020-09-08 10:59:37,100856
2020-09-08 11:00:37,100853
2020-09-08 11:01:37,100857
2020-09-08 11:02:37,100857
2020-09-08 11:03:37,100858
2020-09-08 11:04:37,100856
2020-09-08 11:05:37,100855
2020-09-08 11:06:37,100851
2020-09-08 11:07:37,100851
2020-09-08 11:08:37,100851
2020-09-08 11:09:37,100848
2020-09-08 11:10:37,100846
2020-09-08 11:11:37,100847
2020-09-08 11:12:37,100844
2020-09-08 11:13:37,100847
2020-09-08 11:14:37,100844
2020-09-08 11:15:37,100848
2020-09-08 11:16:37,100844
2020-09-08 11:17:37,100846
2020-09-08 11:18:37,100848
2020-09-08 11:19:37,100848
2020-09-08 11:20:37,100848
2020-09-08 11:21:37,100846
2020-09-08 11:22:37,100843
2020-09-08 11:23:37,100844
2020-09-08 11:24:37,100843
2020-09-08 11:25:37,100844
2020-09-08 11:26:38,100836
2020-09-08 11:27:38,100838
2020-09-08 11:28:38,100839
2020-09-08 11:29:38,100839
2020-09-08 11:30:38,100841
2020-09-08 11:31:38,100837
2020-09-08 11:32:38,100838
2020-09-08 11:33:38,100834
2020-09-08 11:34:38,100837
2020-09-08 11:35:38,100837
2020-09-08 11:36:38,100837
2020-09-08 11:37:38,100834
2020-09-08 11:38:38,100838
2020-09-08 11:39:38,100842
2020-09-08 11:40:38,100841
2020-09-08 11:41:38,100840
2020-09-08 11:42:38,100841
2020-09-08 11:43:38,100840
2020-09-08 11:44:38,100839
2020-09-08 11:45:38,100839
2020-09-08 11:46:38,100838
2020-09-08 11:47:38,100839
2020-09-08 11:48:38,100840
2020-09-08 11:49:38,100838
2020-09-08 11:50:38,100838
2020-09-08 11:51:38,100835
2020-09-08 11:52:38,100839
2020-09-08 11:53:38,100834
2020-09-08 11:54:38,100832
2020-09-08 11:55:38,100831
2020-09-08 11:56:38,100829
2020-09-08 11:57:38,100826
2020-09-08 11:58:38,100825
2020-09-08 11:59:38,100827
2020-09-08 12:00:38,100828
2020-09-08 12:01:38,100829
2020-09-08 12:02:39,100823
2020-09-08 12:03:39,100828
2020-09-08 12:04:39,100825
2020-09-08 12:05:39,100822
2020-09-08 12:06:39,100820
2020-09-08 12:07:39,100818
2020-09-08 12:08:39,100820
2020-09-08 12:09:39,100819
2020-09-08 12:10:39,100820
2020-09-08 12:11:39,100819
2020-09-08 12:12:39,100818
2020-09-08 12:13:39,100814
2020-09-08 12:14:39,100810
2020-09-08 12:15:39,100811
2020-09-08 12:16:39,100808
2020-09-08 12:17:39,100810
2020-09-08 12:18:39,100804
2020-09-08 12:19:39,100805
2020-09-08 12:20:39,100805
2020-09-08 12:21:39,100803
2020-09-08 12:22:39,100800
2020-09-08 12:23:39,100802
2020-09-08 12:24:39,100799
2020-09-08 12:25:39,100796
2020-09-08 12:26:39,100798
2020-09-08 12:27:39,100797
2020-09-08 12:28:39,100797
2020-09-08 12:29:39,100796
2020-09-08 12:30:39,100795
2020-09-08 12:31:39,100795
2020-09-08 12:32:39,100794
2020-09-08 12:33:39,100799
2020-09-08 12:34:39,100794
2020-09-08 12:35:39,100794
2020-09-08 12:36:39,100792
2020-09-08 12:37:39,100789
2020-09-08 12:38:39,100788
2020-09-08 12:39:39,100789
2020-09-08 12:40:39,100785
2020-09-08 12:41:39,100783
2020-09-08 12:42:39,100784
2020-09-08 12:43:40,100785
2020-09-08 12:44:40,100782
2020-09-08 12:45:40,100782
2020-09-08 12:46:40,100778
2020-09-08 12:47:40,100777
2020-09-08 12:48:40,100778
2020-09-08 12:49:40,100775
2020-09-08 12:50:40,100776
2020-09-08 12:51:40,100776
2020-09-08 12:52:40,100778
2020-09-08 12:53:40,100778
2020-09-08 12:54:40,100776
2020-09-08 12:55:40,100772
2020-09-08 12:56:40,100771
2020-09-08 12:57:40,100767
2020-09-08 12:58:40,100771
2020-09-08 12:59:40,100774
2020-09-08 13:00:40,100768
2020-09-08 13:01:40,100765
2020-09-08 13:02:40,100761
2020-09-08 13:03:40,100761
2020-09-08 13:04:40,100760
2020-09-08 13:05:40,100755
2020-09-08 13:06:40,100753
2020-09-08 13:07:40,100755
2020-09-08 13:08:40,100756
2020-09-08 13:09:40,100755
2020-09-08 13:10:40,100754
2020-09-08 13:11:40,100756
2020-09-08 13:12:40,100755
2020-09-08 13:13:40,100754
2020-09-08 13:14:40,100754
2020-09-08 13:15:40,100752
2020-09-08 13:16:40,100754
2020-09-08 13:17:40,100755
2020-09-08 13:18:40,100751
2020-09-08 13:19:40,100752
2020-09-08 13:20:40,100752
2020-09-08 13:21:41,100751
2020-09-08 13:22:41,100753
2020-09-08 13:23:41,100751
2020-09-08 13:24:41,100754
2020-09-08 13:25:41,100749
2020-09-08 13:26:41,100750
2020-09-08 13:27:41,100752
2020-09-08 13:28:41,100747
2020-09-08 13:29:41,100745
2020-09-08 13:30:41,100745
2020-09-08 13:31:41,100746
2020-09-08 13:32:41,100743
2020-09-08 13:33:41,100743
2020-09-08 13:34:41,100740
2020-09-08 13:35:41,100744
2020-09-08 13:36:41,100745
2020-09-08 13:37:41,100741
2020-09-08 13:38:41,100741
2020-09-08 13:39:41,100742
2020-09-08 13:40:41,100743
2020-09-08 13:41:41,100740
2020-09-08 13:42:41,100739
2020-09-08 13:43:41,100736
2020-09-08 13:44:41,100733
2020-09-08 13:45:41,100734
2020-09-08 13:46:41,100733
2020-09-08 13:47:41,100733
2020-09-08 13:48:41,100732
